taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
7544901	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus thailandensis Namwong et al., 2007	Namwong et al., 2007	Halococcus thailandensis	Halococcus	thailandensis		species		Int. J. Syst. Evol. Microbiol. 57::2202	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
7800119	52a423d2-0486-4e77-bcee-6350d708d6ff	1000165			Halococcus sediminicola Yim et al., 2014	Yim et al., 2014	Halococcus sediminicola	Halococcus	sediminicola		species		Int. J. Syst. Evol. Microbiol. 64::1455	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
5900700	2d59e5db-57ad-41ff-97d6-11f5fb264527	1000308			Pyrococcus abyssi Erauso, Reysenbach, Godfroy, Meunier, Crump, Partensky, Baross, Marteinsson, Barbier, Pace & Prieur, 1993	Erauso, Reysenbach, Godfroy, Meunier, Crump, Partensky, Baross, Marteinsson, Barbier, Pace & Prieur, 1993	Pyrococcus abyssi	Pyrococcus	abyssi		species		Erauso, G., Reysenbach, A.L., Godfroy, A., Meunier, J.R., Crump, B., Partensky, F., Baross, J.A., Marteinsson, V., Barbier, G., Pace, N.R., and Prieur, D. "Pyrococcus abyssi sp. nov., a new hyperthermophilic archaeon isolated from a deep-sea hydrothermalvent." Arch. Microbiol. (1993) 160:338-349.	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
8043407	7ddf754f-d193-4cc9-b351-99906754a03b	7965877			Methanoregula boonei Bräuer et al., 2011	Bräuer et al., 2011	Methanoregula boonei	Methanoregula	boonei		species		Int. J. Syst. Evol. Microbiol. 61::51	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula
7492426	7ddf754f-d193-4cc9-b351-99906754a03b	4895360			Methanolinea mesophila Sakai et al., 2012	Sakai et al., 2012	Methanolinea mesophila	Methanolinea	mesophila		species		Int. J. Syst. Evol. Microbiol. 62::1393	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanolinea
9011739	6cfd67d6-4f9b-400b-8549-1933ac27936f	1000165			Halococcus nondenitrificans		Halococcus nondenitrificans	Halococcus	nondenitrificans		species			accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
1000180	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum tibetense Xu et al., 1999	Xu et al., 1999	Natronorubrum tibetense	Natronorubrum	tibetense		species		Int. J. Syst. Bacteriol. 49::265	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum
7608408	52a423d2-0486-4e77-bcee-6350d708d6ff	1000171			Halosimplex rubrum Han & Cui, 2014	Han & Cui, 2014	Halosimplex rubrum	Halosimplex	rubrum		species		Int. J. Syst. Evol. Microbiol. 64::173	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosimplex
4983779	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus hamelinensis Goh et al., 2006	Goh et al., 2006	Halococcus hamelinensis	Halococcus	hamelinensis		species		Int. J. Syst. Evol. Microbiol. 56::1328	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
1000181	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum aibiense Cui et al., 2006	Cui et al., 2006	Natronorubrum aibiense	Natronorubrum	aibiense		species		Int. J. Syst. Evol. Microbiol. 56::1517	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum
9635755	52a423d2-0486-4e77-bcee-6350d708d6ff	1000308			Pyrococcus kukulkanii Callac et al., 2016	Callac et al., 2016	Pyrococcus kukulkanii	Pyrococcus	kukulkanii		species		Int. J. Syst. Evol. Microbiol. 66::3148	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
