taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus	nomenclaturalCode	tempAuthor
1000180	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum tibetense	x	Natronorubrum tibetense	Natronorubrum	tibetense		species		Int. J. Syst. Bacteriol. 49::265	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum		Xu et al., 1999
7608408	52a423d2-0486-4e77-bcee-6350d708d6ff	1000171			Halosimplex rubrum	x	Halosimplex rubrum	Halosimplex	rubrum		species		Int. J. Syst. Evol. Microbiol. 64::173	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosimplex		Han & Cui, 2014
4983779	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus hamelinensis	x	Halococcus hamelinensis	Halococcus	hamelinensis		species		Int. J. Syst. Evol. Microbiol. 56::1328	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus		Goh et al., 2006
1000181	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum aibiense	x	Natronorubrum aibiense	Natronorubrum	aibiense		species		Int. J. Syst. Evol. Microbiol. 56::1517	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum		Cui et al., 2006
9635755	52a423d2-0486-4e77-bcee-6350d708d6ff	1000308			Pyrococcus kukulkanii	x	Pyrococcus kukulkanii	Pyrococcus	kukulkanii		species		Int. J. Syst. Evol. Microbiol. 66::3148	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus		Callac et al., 2016
1000309	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus furiosus	x	Pyrococcus furiosus	Pyrococcus	furiosus		species		Int. J. Syst. Bacteriol. 36::573	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus		Fiala & Stetter, 1986
7698467	52a423d2-0486-4e77-bcee-6350d708d6ff	1000165			Halococcus agarilyticus	x	Halococcus agarilyticus	Halococcus	agarilyticus		species		Int. J. Syst. Evol. Microbiol. 65::1638	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus		Minegishi et al., 2015
1000179	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum bangense	x	Natronorubrum bangense	Natronorubrum	bangense		species		Int. J. Syst. Bacteriol. 49::265	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum		Xu et al., 1999
9075614	52a423d2-0486-4e77-bcee-6350d708d6ff	1000171			Halosimplex litoreum	x	Halosimplex litoreum	Halosimplex	litoreum		species		Int. J. Syst. Evol. Microbiol. 65::3764	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosimplex		Yuan et al., 2015
1000311	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus glycovorans	x	Pyrococcus glycovorans	Pyrococcus	glycovorans		species		Int. J. Syst. Bacteriol. 49::1835	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus		Barbier et al., 1999
4983778	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus saccharolyticus	x	Halococcus saccharolyticus	Halococcus	saccharolyticus		species		Int. J. Syst. Bacteriol. 40::105	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus		Montero et al., 1990
9191210	6cfd67d6-4f9b-400b-8549-1933ac27936f	1000165			Halococcus acetoinfaciens	x	Halococcus acetoinfaciens	Halococcus	acetoinfaciens		species			accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus		
4983777	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus salifodinae	x	Halococcus salifodinae	Halococcus	salifodinae		species		Int. J. Syst. Bacteriol. 44::779	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus		Denner et al., 1994
8414246	52a423d2-0486-4e77-bcee-6350d708d6ff	1000178			Natronorubrum texcoconense	x	Natronorubrum texcoconense	Natronorubrum	texcoconense		species		Int. J. Syst. Evol. Microbiol. 63::1578	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum		Ruiz-Romero et al., 2013
9075471	52a423d2-0486-4e77-bcee-6350d708d6ff	8741393			Thermogladius calderae	x	Thermogladius calderae	Thermogladius	calderae		species		Int. J. Syst. Evol. Microbiol. 66::1411	accepted			Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius		Kochetkova et al., 2016
7999516	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus yayanosii	x	Pyrococcus yayanosii	Pyrococcus	yayanosii		species		Int. J. Syst. Evol. Microbiol. 61::2831	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus		Birrien et al., 2011
8165241	52a423d2-0486-4e77-bcee-6350d708d6ff	1000171			Halosimplex pelagicum	x	Halosimplex pelagicum	Halosimplex	pelagicum		species		Int. J. Syst. Evol. Microbiol. 64::172	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosimplex		Han & Cui, 2014
1000172	7ddf754f-d193-4cc9-b351-99906754a03b	1000171			Halosimplex carlsbadense	x	Halosimplex carlsbadense	Halosimplex	carlsbadense		species		Int. J. Syst. Evol. Microbiol. 53::936	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosimplex		Vreeland et al., 2003
7986167	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum sediminis	x	Natronorubrum sediminis	Natronorubrum	sediminis		species		Int. J. Syst. Evol. Microbiol. 60::1805	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum		Gutiérrez et al., 2010
1000028	7ddf754f-d193-4cc9-b351-99906754a03b	1000027			Staphylothermus hellenicus	x	Staphylothermus hellenicus	Staphylothermus	hellenicus		species		Int. J. Syst. Evol. Microbiol. 50::2106	accepted			Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus		Arab et al., 2000
8012258	7ddf754f-d193-4cc9-b351-99906754a03b	4895360			Methanolinea tarda	x	Methanolinea tarda	Methanolinea	tarda		species		Int. J. Syst. Evol. Microbiol. 58::299	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanolinea		Imachi et al., 2008
1000080	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Vulcanisaeta	x	Vulcanisaeta	Vulcanisaeta			genus		Int. J. Syst. Evol. Microbiol. 52::1103	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta		Itoh et al., 2002
1000074	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Pyrobaculum	x	Pyrobaculum	Pyrobaculum			genus		Int. J. Syst. Bacteriol. 38::221	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum		Huber et al., 1988
1000072	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Thermocladium	x	Thermocladium	Thermocladium			genus		Int. J. Syst. Bacteriol. 48::886	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermocladium		Itoh et al., 1998
1000070	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Caldivirga	x	Caldivirga	Caldivirga			genus		Int. J. Syst. Bacteriol. 49::1162	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga		Itoh et al., 1999
8337606	52a423d2-0486-4e77-bcee-6350d708d6ff	1000182	7357253		Halobacterium salinarium	x	Halobacterium salinarium	Halobacterium	salinarium		species		Int. J. Syst. Bacteriol. 30::307	synonym			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium		Elazari-Volcani, 1957 (Harrison & Kennedy, 1922)
1000184	52a423d2-0486-4e77-bcee-6350d708d6ff	1000182	7357253		Halobacterium cutirubrum	x	Halobacterium cutirubrum	Halobacterium	cutirubrum		species		Int. J. Syst. Bacteriol. 30::307	synonym			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium		Elazari-Volcani, 1957 (Lochhead, 1934)
4895335	7ddf754f-d193-4cc9-b351-99906754a03b	4896449			Methermicoccus	x	Methermicoccus	Methermicoccus			genus		Int. J. Syst. Evol. Microbiol. 57::2968	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methermicoccaceae	Methermicoccus		Cheng et al., 2007
1000160	7ddf754f-d193-4cc9-b351-99906754a03b	1000153	1000159		Methanococcus jannaschii	x	Methanococcus jannaschii	Methanococcus	jannaschii		species		Int. J. Syst. Bacteriol. 34::503	synonym			Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus		Jones et al., 1984
1000066	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Thermoproteus	x	Thermoproteus	Thermoproteus			genus		Int. J. Syst. Bacteriol. 32::267	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus		Zillig & Stetter, 1982
1000422	7ddf754f-d193-4cc9-b351-99906754a03b	3807			Methanopyrus	x	Methanopyrus	Methanopyrus			genus		Int. J. Syst. Bacteriol. 42::327	accepted			Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus		Kurr et al., 1992
565	7ddf754f-d193-4cc9-b351-99906754a03b	160			Halobacteriales	x	Halobacteriales	Halobacteriales			order			accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales				
1000365	52a423d2-0486-4e77-bcee-6350d708d6ff	7790	1000362		Methanosaeta	x	Methanosaeta	Methanosaeta			genus		Int. J. Syst. Bacteriol. 40::80	synonym			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix		Patel & Sprott, 1990
7924638	52a423d2-0486-4e77-bcee-6350d708d6ff	1000326			Methanococcoides vulcani	x	Methanococcoides vulcani	Methanococcoides	vulcani		species		Int. J. Syst. Evol. Microbiol. 64::1982	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides		L'Haridon et al., 2014
1000133	7ddf754f-d193-4cc9-b351-99906754a03b	1000122			Methanothermobacter marburgensis	x	Methanothermobacter marburgensis	Methanothermobacter	marburgensis		species		Int. J. Syst. Evol. Microbiol. 50::52	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter		Wasserfallen et al., 2000
1000050	7ddf754f-d193-4cc9-b351-99906754a03b	7787			Sulfolobus	x	Sulfolobus	Sulfolobus			genus		Int. J. Syst. Bacteriol. 30::411	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus		Brock et al., 1972
7787	7ddf754f-d193-4cc9-b351-99906754a03b	564			Sulfolobaceae	x	Sulfolobaceae	Sulfolobaceae			family			accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae			
9407771	0938172b-2086-439c-a1dd-c21cb0109ed5	160			Halorubraceae	x	Halorubraceae	Halorubraceae			family			accepted			Archaea	Euryarchaeota	Halobacteria		Halorubraceae			
9335669	0938172b-2086-439c-a1dd-c21cb0109ed5	160			Haloferacaceae	x	Haloferacaceae	Haloferacaceae			family		Gupta, R. S.; Naushad, S.; Baker, S. (2014). Phylogenomic analyses and molecular signatures for the class Halobacteria and its two major clades: a proposal for division of the class Halobacteria into an emended order Halobacteriales and two new orders, Haloferacales ord. nov. and Natrialbales ord. nov., containing the novel families Haloferacaceae fam. nov. and Natrialbaceae fam. nov. <em>International Journal of Systematic and Evolutionary Microbiology.</em> 65(Pt 3): 1050-1069.	accepted			Archaea	Euryarchaeota	Halobacteria		Haloferacaceae			
9598310	0938172b-2086-439c-a1dd-c21cb0109ed5	160			Natrialbaceae	x	Natrialbaceae	Natrialbaceae			family		Gupta, R. S.; Naushad, S.; Baker, S. (2014). Phylogenomic analyses and molecular signatures for the class Halobacteria and its two major clades: a proposal for division of the class Halobacteria into an emended order Halobacteriales and two new orders, Haloferacales ord. nov. and Natrialbales ord. nov., containing the novel families Haloferacaceae fam. nov. and Natrialbaceae fam. nov. <em>International Journal of Systematic and Evolutionary Microbiology.</em> 65(Pt 3): 1050-1069.	accepted			Archaea	Euryarchaeota	Halobacteria		Natrialbaceae			
1000374	7ddf754f-d193-4cc9-b351-99906754a03b	1000373			Methanocorpusculum parvum	x	Methanocorpusculum parvum	Methanocorpusculum	parvum		species			accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum		Zellner et al., 1988
1000379	7ddf754f-d193-4cc9-b351-99906754a03b	1000373			Methanocorpusculum bavaricum	x	Methanocorpusculum bavaricum	Methanocorpusculum	bavaricum		species		Int. J. Syst. Bacteriol. 39::371	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum		Zellner et al., 1989
1000329	7ddf754f-d193-4cc9-b351-99906754a03b	1000326			Methanococcoides burtonii	x	Methanococcoides burtonii	Methanococcoides	burtonii		species		Int. J. Syst. Bacteriol. 43::398	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides		Franzmann et al., 1993
1000139	7ddf754f-d193-4cc9-b351-99906754a03b	1000137			Methanothermus sociabilis	x	Methanothermus sociabilis	Methanothermus	sociabilis		species		Int. J. Syst. Bacteriol. 36::573	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus		Stetter, 1986
1000054	7ddf754f-d193-4cc9-b351-99906754a03b	1000050			Sulfolobus shibatae	x	Sulfolobus shibatae	Sulfolobus	shibatae		species		Int. J. Syst. Bacteriol. 41::457	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus		Grogan et al., 1991
1000051	7ddf754f-d193-4cc9-b351-99906754a03b	1000050			Sulfolobus yangmingensis	x	Sulfolobus yangmingensis	Sulfolobus	yangmingensis		species		Int. J. Syst. Bacteriol. 49::1815	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus		Jan et al., 1999
1000371	52a423d2-0486-4e77-bcee-6350d708d6ff	1000362			Methanosaeta harundinacea	x	Methanosaeta harundinacea	Methanosaeta	harundinacea		species		Int. J. Syst. Evol. Microbiol. 56::130	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix		Ma et al., 2006
1000127	7ddf754f-d193-4cc9-b351-99906754a03b	1000122		1000128	Methanothermobacter defluvii	x	Methanothermobacter defluvii	Methanothermobacter	defluvii		species		Int. J. Syst. Evol. Microbiol. 52::686	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter		Boone, 2002 (Kotelnikova et al., 1994)
1000129	7ddf754f-d193-4cc9-b351-99906754a03b	1000122			Methanothermobacter wolfeii	x	Methanothermobacter wolfeii	Methanothermobacter	wolfeii		species		Int. J. Syst. Evol. Microbiol. 50::51	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter		Wasserfallen et al., 2000 (Winter et al., 1985)
1000138	7ddf754f-d193-4cc9-b351-99906754a03b	1000137			Methanothermus fervidus	x	Methanothermus fervidus	Methanothermus	fervidus		species		Int. J. Syst. Bacteriol. 32::267	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus		Stetter, 1982
1000055	7ddf754f-d193-4cc9-b351-99906754a03b	1000050			Sulfolobus metallicus	x	Sulfolobus metallicus	Sulfolobus	metallicus		species		Int. J. Syst. Bacteriol. 42::191	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus		Huber & Stetter, 1992
1000053	7ddf754f-d193-4cc9-b351-99906754a03b	1000050			Sulfolobus acidocaldarius	x	Sulfolobus acidocaldarius	Sulfolobus	acidocaldarius		species		Int. J. Syst. Bacteriol. 30::411	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus		Brock et al., 1972
8059040	7ddf754f-d193-4cc9-b351-99906754a03b	1000390			Methanoculleus receptaculi	x	Methanoculleus receptaculi	Methanoculleus	receptaculi		species		Int. J. Syst. Evol. Microbiol. 58::2471	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus		Cheng et al., 2008
7641274	7ddf754f-d193-4cc9-b351-99906754a03b	1000362			Methanothrix thermoacetophila	x	Methanothrix thermoacetophila	Methanothrix	thermoacetophila		species		Int. J. Syst. Bacteriol. 38::220	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix		Nozhevnikova & Chudina, 1988
1000086	7ddf754f-d193-4cc9-b351-99906754a03b	1000085			Picrophilus torridus	x	Picrophilus torridus	Picrophilus	torridus		species		Int. J. Syst. Bacteriol. 46::816	accepted			Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus		Zillig et al., 1996
7999710	52a423d2-0486-4e77-bcee-6350d708d6ff	1000390			Methanoculleus taiwanensis	x	Methanoculleus taiwanensis	Methanoculleus	taiwanensis		species		Int. J. Syst. Evol. Microbiol. 65::1048	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus		Weng et al., 2015
8272406	7ddf754f-d193-4cc9-b351-99906754a03b	1000390			Methanoculleus hydrogenitrophicus	x	Methanoculleus hydrogenitrophicus	Methanoculleus	hydrogenitrophicus		species		Int. J. Syst. Evol. Microbiol. 60::2168	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus		Tian et al., 2010
8289550	52a423d2-0486-4e77-bcee-6350d708d6ff	5901082			Halopelagius longus	x	Halopelagius longus	Halopelagius	longus		species		Int. J. Syst. Evol. Microbiol. 63::3589	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halopelagius		Zhang et al., 2013
1000391	7ddf754f-d193-4cc9-b351-99906754a03b	1000390			Methanoculleus submarinus	x	Methanoculleus submarinus	Methanoculleus	submarinus		species		Int. J. Syst. Evol. Microbiol. 53::1701	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus		Mikucki et al., 2003
1000402	7ddf754f-d193-4cc9-b351-99906754a03b	1000390			Methanoculleus chikugoensis	x	Methanoculleus chikugoensis	Methanoculleus	chikugoensis		species		Int. J. Syst. Evol. Microbiol. 51::1667	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus		Dianou et al., 2001
8258716	52a423d2-0486-4e77-bcee-6350d708d6ff	1000390			Methanoculleus thermophilus	x	Methanoculleus thermophilus	Methanoculleus	thermophilus		species		Int. J. Syst. Bacteriol. 40::121	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus		Maestrojuán et al., 1990 (Rivard & Smith, 1982)
7910220	52a423d2-0486-4e77-bcee-6350d708d6ff	7590503			Salinirubrum litoreum	x	Salinirubrum litoreum	Salinirubrum	litoreum		species		Int. J. Syst. Evol. Microbiol. 64::1456	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Salinirubrum		Cui & Qiu, 2014
1000363	7ddf754f-d193-4cc9-b351-99906754a03b	1000362			Methanothrix soehngenii	x	Methanothrix soehngenii	Methanothrix	soehngenii		species		Int. J. Syst. Bacteriol. 33::439	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix		Huser et al., 1983
1000328	7ddf754f-d193-4cc9-b351-99906754a03b	1000326			Methanococcoides methylutens	x	Methanococcoides methylutens	Methanococcoides	methylutens		species		Int. J. Syst. Bacteriol. 35::223	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides		Sowers & Ferry, 1985
1000087	7ddf754f-d193-4cc9-b351-99906754a03b	1000085			Picrophilus oshimae	x	Picrophilus oshimae	Picrophilus	oshimae		species		Int. J. Syst. Bacteriol. 46::815	accepted			Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus		Schleper et al., 1996
8085106	52a423d2-0486-4e77-bcee-6350d708d6ff	1000390			Methanoculleus horonobensis	x	Methanoculleus horonobensis	Methanoculleus	horonobensis		species		Int. J. Syst. Evol. Microbiol. 63::4322	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus		Shimizu et al., 2013
7463993	52a423d2-0486-4e77-bcee-6350d708d6ff	5901082			Halopelagius fulvigenes	x	Halopelagius fulvigenes	Halopelagius	fulvigenes		species		Int. J. Syst. Evol. Microbiol. 63::2195	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halopelagius		Liu et al., 2013
1000327	7ddf754f-d193-4cc9-b351-99906754a03b	1000326			Methanococcoides alaskense	x	Methanococcoides alaskense	Methanococcoides	alaskense		species		Int. J. Syst. Evol. Microbiol. 55::2537	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides		Singh et al., 2005
8298517	52a423d2-0486-4e77-bcee-6350d708d6ff	1000122			Methanothermobacter crinale	x	Methanothermobacter crinale	Methanothermobacter	crinale		species		Int. J. Syst. Evol. Microbiol. 62::1443	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter		Cheng et al., 2012
1000056	7ddf754f-d193-4cc9-b351-99906754a03b	1000050			Sulfolobus tokodaii	x	Sulfolobus tokodaii	Sulfolobus	tokodaii		species		Int. J. Syst. Evol. Microbiol. 52::1438	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus		Suzuki et al., 2002
7376395	7ddf754f-d193-4cc9-b351-99906754a03b	1000390			Methanoculleus bourgensis	x	Methanoculleus bourgensis	Methanoculleus	bourgensis		species		Int. J. Syst. Bacteriol. 40::121	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus		Maestrojuán et al., 1990 (Ollivier et al., 1986)
5901084	7ddf754f-d193-4cc9-b351-99906754a03b	5901082			Halopelagius inordinatus	x	Halopelagius inordinatus	Halopelagius	inordinatus		species		Int. J. Syst. Evol. Microbiol. 60::2093	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halopelagius		Cui et al., 2010
1000375	7ddf754f-d193-4cc9-b351-99906754a03b	1000373			Methanocorpusculum sinense	x	Methanocorpusculum sinense	Methanocorpusculum	sinense		species		Int. J. Syst. Bacteriol. 39::371	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum		Zellner et al., 1989
