taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	nomenclaturalCode
1000135	7ddf754f-d193-4cc9-b351-99906754a03b	1000134			Methanosphaera cuniculi	"Biavati et al., 1990"	Methanosphaera cuniculi	Methanosphaera	cuniculi		species		Int. J. Syst. Bacteriol. 40::470	accepted			BC
1000114	7ddf754f-d193-4cc9-b351-99906754a03b	1000107			Methanobrevibacter oralis	"Ferrari et al., 1995"	Methanobrevibacter oralis	Methanobrevibacter	oralis		species		Int. J. Syst. Bacteriol. 45::880	accepted			BC
1000406	7ddf754f-d193-4cc9-b351-99906754a03b	1000403			Methanoplanus endosymbiosus	"van Bruggen et al., 1986"	Methanoplanus endosymbiosus	Methanoplanus	endosymbiosus		species		Int. J. Syst. Bacteriol. 36::573	accepted			BC
8241726	52a423d2-0486-4e77-bcee-6350d708d6ff	7781203			Halolamina salina	"Zhang et al., 2013"	Halolamina salina	Halolamina	salina		species		Int. J. Syst. Evol. Microbiol. 63::4385	accepted			BC
8820989	52a423d2-0486-4e77-bcee-6350d708d6ff	8168320			Haloarchaeobius amylolyticus	"Yuan et al., 2015"	Haloarchaeobius amylolyticus	Haloarchaeobius	amylolyticus		species		Int. J. Syst. Evol. Microbiol. 65::3764	accepted			BC
8972782	52a423d2-0486-4e77-bcee-6350d708d6ff	7781203			Halolamina sediminis	"Koh et al., 2015"	Halolamina sediminis	Halolamina	sediminis		species		Int. J. Syst. Evol. Microbiol. 65::2483	accepted			BC
7762392	7ddf754f-d193-4cc9-b351-99906754a03b	1000189			Halomicrobium katesii	"Kharroub et al., 2008"	Halomicrobium katesii	Halomicrobium	katesii		species		Int. J. Syst. Evol. Microbiol. 58::2357	accepted			BC
7735687	7ddf754f-d193-4cc9-b351-99906754a03b	1000189			Halomicrobium zhouii	"Yang & Cui, 2012"	Halomicrobium zhouii	Halomicrobium	zhouii		species		Int. J. Syst. Evol. Microbiol. 62::1239	accepted			BC
1000288	7ddf754f-d193-4cc9-b351-99906754a03b	1000279			Thermococcus fumicolans	"Godfroy & Meunier, 1996"	Thermococcus fumicolans	Thermococcus	fumicolans		species		Int. J. Syst. Bacteriol. 46::1118	accepted			BC
9636463	52a423d2-0486-4e77-bcee-6350d708d6ff	1000279			Thermococcus piezophilus	"Dalmasso et al., 2017"	Thermococcus piezophilus	Thermococcus	piezophilus		species		Int. J. Syst. Evol. Microbiol. 67::1097	accepted			BC
